Topic,Words,Frequency,Timestamp
7,"переговорах, турции, правящей партии, отказ, лидеров",1,2023-09-17 00:00:00+00:00
8,"вооруженных, отмечают, вооружений, оружие, праздник",2,2023-09-17 00:00:00+00:00
10,"верховному, верховным, верховного, будем, должны",1,2023-09-17 00:00:00+00:00
12,"абхазии, республике, готов, республики, появится",6,2023-09-17 00:00:00+00:00
14,"государственности, республики, государство, осетии, признать",1,2023-09-17 00:00:00+00:00
15,"бразилии, делегации, встречу, встреча, украины",2,2023-09-17 00:00:00+00:00
16,"хорошие новости, это произошло, крым, произошло, крыма",2,2023-09-17 00:00:00+00:00
18,"российских военных, погибших, погибли, телефонный разговор, российскими",30,2023-09-17 00:00:00+00:00
22,"задержали, задержан, ареста, призывал, силовики",2,2023-09-17 00:00:00+00:00
23,"переговоры, российский лидер, телефонный разговор, обсудили, премьер",17,2023-09-17 00:00:00+00:00
24,"крым, крыму, крыма, людей, свободы",2,2023-09-17 00:00:00+00:00
25,"гражданство, российское, российский, родину, гражданин",6,2023-09-17 00:00:00+00:00
29,"родился, день, рождения, октября, состоялась",7,2023-09-17 00:00:00+00:00
30,"израиль, обвинили, израиля, посольство, иностранных дел",4,2023-09-17 00:00:00+00:00
-1,"украину, израиль, говорит, израиля, украина",1306,2023-10-17 00:00:00+00:00
0,"украинских, конфликта, обороны, россию, военных",849,2023-10-17 00:00:00+00:00
1,"боевиков, задержаны, властей, пытались, проводят",12,2023-10-17 00:00:00+00:00
2,"грузии, протесты, оппозиционных, протеста, конституцию",9,2023-10-17 00:00:00+00:00
3,"помочь, оружием, ядерного оружия, военный осведомитель, лидера",2,2023-10-17 00:00:00+00:00
4,"выборах, политиков, кампании, париже, выборы",2,2023-10-17 00:00:00+00:00
5,"доверия, главе государства, властью, мнение, оценка",12,2023-10-17 00:00:00+00:00
8,"спецназа, вооруженных сил, военнослужащих, войска, военных",9,2023-10-17 00:00:00+00:00
14,"добровольцев, боевиков, военнослужащие, ветераны, отрядов",1,2023-10-17 00:00:00+00:00
15,"переговоры, переговоров, бразилии, переговорах, телефонный разговор",1,2023-10-17 00:00:00+00:00
19,"завершился, покинули, покинул, переговорах, переговоров",2,2023-10-17 00:00:00+00:00
21,"назначен, назначил, подписал указ, посла, посол",1,2023-10-17 00:00:00+00:00
22,"терроризма, террористической, грозит, уголовное, пропаганды",4,2023-10-17 00:00:00+00:00
23,"переговоры, премьер министра, израиль, премьер министр, израиля",3,2023-10-17 00:00:00+00:00
24,"люди, людей, военные, вооруженные, ветераны",1,2023-10-17 00:00:00+00:00
25,"гражданство, гражданина, российским, человека, российское",2,2023-10-17 00:00:00+00:00
26,"выборов, выборы, массы, президентских выборов, правящей партии",1,2023-10-17 00:00:00+00:00
29,"родился, день, русского, русский, ноября",4,2023-10-17 00:00:00+00:00
30,"говорят, нашли, борту, судно, находятся",1,2023-10-17 00:00:00+00:00
-1,"украину, ситуация, конфликта, переговоры, говорит",2119,2023-11-16 00:00:00+00:00
0,"украину, украинских, украины, украина, выборах",1361,2023-11-16 00:00:00+00:00
1,"вооруженные, вооруженных, происходит, вооруженные силы, конфликт",22,2023-11-16 00:00:00+00:00
3,"оппозиции, оппозиция, ядерного оружия, митинг, президентского",2,2023-11-16 00:00:00+00:00
5,"доверия, главы государства, мнению, большинство, президентский",18,2023-11-16 00:00:00+00:00
8,"российской армии, российских военных, военнослужащих, вооруженных сил, армии",4,2023-11-16 00:00:00+00:00
13,"санкции, санкций, санкции против, антироссийские, список",2,2023-11-16 00:00:00+00:00
15,"бразилии, призвал, саммите, кремле, санкций",2,2023-11-16 00:00:00+00:00
16,"крыму, крым, крыма, правительству, произошло",5,2023-11-16 00:00:00+00:00
19,"переговорах, переговоров, переговоры, завершился, завершилось",2,2023-11-16 00:00:00+00:00
20,"активистов, речь идет, говорит, пишут, людей",2,2023-11-16 00:00:00+00:00
21,"подписал указ, указом, указ, назначен, назначил",2,2023-11-16 00:00:00+00:00
22,"задержали, задержан, ареста, силовики, уголовное",5,2023-11-16 00:00:00+00:00
23,"переговоры, телефонный разговор, разговор, премьер министра, премьер",7,2023-11-16 00:00:00+00:00
26,"выборах, выборов, победил, поздравил, выбрали",34,2023-11-16 00:00:00+00:00
29,"родился, русского, русский, русских, русские",7,2023-11-16 00:00:00+00:00
30,"говорят, одобрил, поделился, серьезно, законопроект",1,2023-11-16 00:00:00+00:00
-1,"украину, войска, обороны, военные, украины",1680,2023-12-16 00:00:00+00:00
0,"украину, россию, мобилизации, поддержать, украины",1104,2023-12-16 00:00:00+00:00
1,"вооруженных, вооруженные, властями, властей, боевиков",45,2023-12-16 00:00:00+00:00
2,"грузии, россию, силовиков, протесты, оппозиционных",1,2023-12-16 00:00:00+00:00
3,"парламенте, президенты, нападение, произошел, южной",2,2023-12-16 00:00:00+00:00
4,"министра иностранных, министром, министров, министра, премьером",6,2023-12-16 00:00:00+00:00
5,"главе государства, россиян, большинство, политические, считают",9,2023-12-16 00:00:00+00:00
8,"вооруженных сил, великой отечественной, вооруженных, отмечают, армии",7,2023-12-16 00:00:00+00:00
10,"верховному, майора, военных, верховным, верховного",3,2023-12-16 00:00:00+00:00
12,"абхазии, россией, республике, республику, появится",1,2023-12-16 00:00:00+00:00
13,"санкции против, санкции, антироссийских, антироссийские, санкций",3,2023-12-16 00:00:00+00:00
14,"осетии, признать, союз, ждёт, россией",2,2023-12-16 00:00:00+00:00
20,"российский лидер, лидером, россию, интервью, российский",1,2023-12-16 00:00:00+00:00
22,"задержали, задержан, ареста, соцсетях, интернет",2,2023-12-16 00:00:00+00:00
24,"крыму, крым, крыма, спасибо, поддержку",1,2023-12-16 00:00:00+00:00
25,"гражданство, российское, российского, гражданами, россию",20,2023-12-16 00:00:00+00:00
26,"протесты против, протесты, митинги, протеста, призвали",20,2023-12-16 00:00:00+00:00
29,"русского, русский, русскими, русские, декабря",7,2023-12-16 00:00:00+00:00
-1,"украину, говорит, россию, украины, рассказал",1969,2024-01-15 00:00:00+00:00
0,"говорит, интервью, сказал, переговоров, украину",1534,2024-01-15 00:00:00+00:00
1,"вооруженных, вооруженные, боевиков, ситуация, властей",22,2024-01-15 00:00:00+00:00
2,"грузии, вторжения, россией, против россии, главы государства",1,2024-01-15 00:00:00+00:00
3,"внешней политики, речь идет, отменить, отношениях, отношения",3,2024-01-15 00:00:00+00:00
4,"отставку, политиков, обвинил, беспорядки, франции",1,2024-01-15 00:00:00+00:00
5,"доверия, главы государства, большинство, россияне, россиян",7,2024-01-15 00:00:00+00:00
8,"армии, вооруженных сил, войска, армией, войск",5,2024-01-15 00:00:00+00:00
10,"верховному, верховным, военных, верховного, майора",1,2024-01-15 00:00:00+00:00
12,"избирательном, избирателей, проголосовать, выборы, соотечественников",1,2024-01-15 00:00:00+00:00
20,"интервью, говорит, эфире, мнением, сказал",1,2024-01-15 00:00:00+00:00
21,"подписал указ, кремля, отставке, российской федерации, указом",3,2024-01-15 00:00:00+00:00
22,"задержали, ареста, задержан, силовики, уголовное",3,2024-01-15 00:00:00+00:00
24,"крыму, крым, крыма, независимость, проголосовали",1,2024-01-15 00:00:00+00:00
26,"протестующих, недовольны, правоохранители, задержали, толпа",9,2024-01-15 00:00:00+00:00
29,"родился, русский, русского, русском, святого",5,2024-01-15 00:00:00+00:00
-1,"говорит, украину, россию, нужно, россией",2483,2024-02-14 00:00:00+00:00
0,"военные, украину, войска, украинских, военных",1569,2024-02-14 00:00:00+00:00
1,"властей, протесты, происходит, переворот, власть",11,2024-02-14 00:00:00+00:00
2,"грузии, властями, санкций, санкции, оппозиции",2,2024-02-14 00:00:00+00:00
4,"париже, протестов, выборах, франции, протест",5,2024-02-14 00:00:00+00:00
5,"доверия, поддерживают, лидеров, большинство, россиян",10,2024-02-14 00:00:00+00:00
7,"президенты, турции, туре, президентские, сказать",2,2024-02-14 00:00:00+00:00
8,"российской федерации, ссср, разведки, государственной, подписал указ",2,2024-02-14 00:00:00+00:00
9,"министра обороны, заместителя, обороны, минобороны, вооруженных сил",4,2024-02-14 00:00:00+00:00
10,"верховному, майора, верховного, военных, должны",65,2024-02-14 00:00:00+00:00
13,"санкции, санкции против, санкций, запрет, ограничения",3,2024-02-14 00:00:00+00:00
15,"бразилии, санкций, иностранных дел, визита, министр иностранных",4,2024-02-14 00:00:00+00:00
22,"задержан, задержали, ареста, антироссийских, грозит",3,2024-02-14 00:00:00+00:00
24,"крыму, крым, крыма, лет назад, прошло",15,2024-02-14 00:00:00+00:00
26,"отреагировали, митинги, протестов, устроил, ожидается",4,2024-02-14 00:00:00+00:00
29,"родился, русского, русский, русских, русские",13,2024-02-14 00:00:00+00:00
30,"обвинения, властей, против, происходит, серьезно",1,2024-02-14 00:00:00+00:00
-1,"выборы, выборах, выборов, россию, террористов",2289,2024-03-15 00:00:00+00:00
0,"россию, террористов, украину, россией, российские",1500,2024-03-15 00:00:00+00:00
1,"оппозиции, выборах, властей, выборы, выборов",12,2024-03-15 00:00:00+00:00
2,"грузии, протесты, протестов, оппозиции, протеста",2,2024-03-15 00:00:00+00:00
4,"выборы, демократии, левых, выборов, франции",3,2024-03-15 00:00:00+00:00
5,"доверия, лидеров, выборов, президентских, партии",7,2024-03-15 00:00:00+00:00
7,"выборах, выборов, выборы, кандидаты, турции",4,2024-03-15 00:00:00+00:00
8,"военнослужащих, военнослужащие, военным, войска, войск",9,2024-03-15 00:00:00+00:00
10,"уважаемые, пишут, командиров, верховному, обороны",4,2024-03-15 00:00:00+00:00
15,"российского лидера, бразилии, главы государства, властям, планируется",5,2024-03-15 00:00:00+00:00
17,"разведки, совбеза, секретарь, должность, стратегических",1,2024-03-15 00:00:00+00:00
21,"посол, назначен, посла, кремля, отставке",2,2024-03-15 00:00:00+00:00
22,"задержали, задержан, задержания, задержаны, силовики",7,2024-03-15 00:00:00+00:00
24,"крым, крыму, крыма, россию, состоялся",24,2024-03-15 00:00:00+00:00
26,"властей, покушение, человек, задержания, политический",3,2024-03-15 00:00:00+00:00
29,"родился, 24, русских, день, русский",2,2024-03-15 00:00:00+00:00
-1,"россию, фронте, обороны, военных, россией",1634,2024-04-14 00:00:00+00:00
0,"говорит, россию, военных, российские, украину",928,2024-04-14 00:00:00+00:00
1,"властей, укреплению, войска, власть, войск",18,2024-04-14 00:00:00+00:00
2,"грузии, протесты, протестующих, беспорядки, протеста",10,2024-04-14 00:00:00+00:00
3,"телефонный разговор, разговор, состоялся, последнее время, южной",1,2024-04-14 00:00:00+00:00
4,"выборах, выборы, президентских выборах, президентских, политиков",2,2024-04-14 00:00:00+00:00
5,"доверия, россияне, лидеров, мнение, властям",8,2024-04-14 00:00:00+00:00
8,"вооруженных сил, вооруженные силы, обороны, войска, военного",15,2024-04-14 00:00:00+00:00
9,"безопасности россии, секретарем, секретаря, должность, назначен",15,2024-04-14 00:00:00+00:00
10,"верховному, верховным, верховного, готовы, майора",4,2024-04-14 00:00:00+00:00
17,"министром обороны, министра обороны, министр обороны, министра внутренних, министра иностранных",77,2024-04-14 00:00:00+00:00
19,"завершилось, завершился, переговорах, переговоров, переговоры",2,2024-04-14 00:00:00+00:00
20,"интервью, говорит, россию, мысли, объяснил",37,2024-04-14 00:00:00+00:00
21,"кремля, подписал указ, отставке, кремль, указом",6,2024-04-14 00:00:00+00:00
22,"задержан, задержали, антироссийские, ареста, соцсетях",3,2024-04-14 00:00:00+00:00
23,"поздравил, победы, россией, израиль, израиля",4,2024-04-14 00:00:00+00:00
24,"крыму, крым, крыма, россией, мнение",2,2024-04-14 00:00:00+00:00
25,"гражданство, ветераны, ветеранов, ситуацию, русских",5,2024-04-14 00:00:00+00:00
26,"протеста, протесты, протесты против, толпа, беспорядки",3,2024-04-14 00:00:00+00:00
30,"израиль, израиля, властей, двух стран, прекратить",2,2024-04-14 00:00:00+00:00
-1,"обороны, войска, россию, переговоры, переговоров",2138,2024-05-14 00:00:00+00:00
0,"украину, военных, обороны, военной, оружие",1459,2024-05-14 00:00:00+00:00
1,"вооруженные, вооруженных, оппозиции, идет, правительство",10,2024-05-14 00:00:00+00:00
2,"грузии, парламенте, закон, закона, извне",58,2024-05-14 00:00:00+00:00
3,"начались, обстановка, приходится, нужно, эскалации",3,2024-05-14 00:00:00+00:00
4,"выборы, выборах, выборов, свои позиции, партии",16,2024-05-14 00:00:00+00:00
5,"доверия, выборах, лидера, политические, политического",3,2024-05-14 00:00:00+00:00
7,"мобилизации, готовится, объявить, турции, полномочия",4,2024-05-14 00:00:00+00:00
8,"советского, ссср, днем, отмечается, установлен",2,2024-05-14 00:00:00+00:00
9,"министра обороны, обороны, заместителя, назначен, замминистра",73,2024-05-14 00:00:00+00:00
10,"военных, верховному, майора, комментируя, верховным",2,2024-05-14 00:00:00+00:00
11,"погибли, иран, погибших, инцидент, погиб",178,2024-05-14 00:00:00+00:00
15,"бразилии, переговорах, делегации, переговоров, конфликта украине",3,2024-05-14 00:00:00+00:00
17,"министром обороны, министра обороны, министр обороны, обороны, военнослужащих",46,2024-05-14 00:00:00+00:00
19,"завершилось, завершился, покинули, переговорах, переговоров",1,2024-05-14 00:00:00+00:00
21,"отставке, указом, подписал указ, кремля, указ",11,2024-05-14 00:00:00+00:00
22,"задержан, задержали, уголовное, силовики, соцсетях",4,2024-05-14 00:00:00+00:00
26,"протесты, властей, глава государства, посол, посла",3,2024-05-14 00:00:00+00:00
28,"учения, ядерного оружия, подготовки, проводят, ядерного",1,2024-05-14 00:00:00+00:00
29,"родился, день, 26, мая, основатель",2,2024-05-14 00:00:00+00:00
30,"властей, передали, американских, голову, чиновников",2,2024-05-14 00:00:00+00:00
-1,"украину, конфликта, украинских, переговоров, россию",2115,2024-06-13 00:00:00+00:00
0,"переговоры, переговоров, россию, обороны, интересное",1602,2024-06-13 00:00:00+00:00
1,"протесты, протестов, протестующих, беспорядки, протестующие",15,2024-06-13 00:00:00+00:00
2,"грузии, власть, протесты, происходит, протестов",7,2024-06-13 00:00:00+00:00
3,"вооружений, ядерного оружия, речь идет, украину, военные",8,2024-06-13 00:00:00+00:00
4,"выборы, выборов, выборах, левых, парламенте",66,2024-06-13 00:00:00+00:00
7,"турции, туре, тур, конституцию, оппозиции",2,2024-06-13 00:00:00+00:00
8,"служба, службы, войска, военного, вооруженных сил",1,2024-06-13 00:00:00+00:00
9,"министра обороны, обороны, заместителя, должности, замминистра",30,2024-06-13 00:00:00+00:00
10,"военнослужащих, конфликта украине, майора, верховного, украиной",9,2024-06-13 00:00:00+00:00
13,"санкций, список, санкции, санкции против, российских",3,2024-06-13 00:00:00+00:00
17,"министра обороны, министром обороны, министр обороны, министров, минобороны",1,2024-06-13 00:00:00+00:00
19,"завершился, переговорах, переговоров, кремле, переговоры",8,2024-06-13 00:00:00+00:00
20,"разговор, интервью, говорит, будущем, сказал",1,2024-06-13 00:00:00+00:00
21,"кремля, отставке, назначил, подписал указ, назначен",3,2024-06-13 00:00:00+00:00
22,"задержан, задержали, задержания, ареста, адекватные новости",6,2024-06-13 00:00:00+00:00
24,"россию, крыму, крым, россией, проголосовали",1,2024-06-13 00:00:00+00:00
25,"гражданство, россию, российское, гражданами, получил",12,2024-06-13 00:00:00+00:00
26,"беспорядков, протесты, протестующих, реформы, произойдет",3,2024-06-13 00:00:00+00:00
29,"родился, июля, день, наук, состоялась",1,2024-06-13 00:00:00+00:00
-1,"конфликта, украину, переговоры, переговоров, россию",1260,2024-07-13 00:00:00+00:00
0,"переговоры, президентской, переговоров, президенты, выборах",1064,2024-07-13 00:00:00+00:00
1,"выборы, оппозиции, протестующие, выборов, боевиков",47,2024-07-13 00:00:00+00:00
2,"грузии, конфликта, конфликту, вооруженные, республику",5,2024-07-13 00:00:00+00:00
3,"ядерного оружия, речь идет, ядерной, южной, провокации",7,2024-07-13 00:00:00+00:00
4,"выборах, выборы, власть, выборами, выборов",5,2024-07-13 00:00:00+00:00
5,"доверие, доверия, большинство, мнение, оценка",2,2024-07-13 00:00:00+00:00
7,"туре, сын, тур, поздравил, получил",1,2024-07-13 00:00:00+00:00
8,"вооруженных сил, войска, войск, военных, военный",3,2024-07-13 00:00:00+00:00
9,"назначен, назначил, заместителя, назначены, совбеза",4,2024-07-13 00:00:00+00:00
10,"губернатора, курской области, военных, майора, верховному",2,2024-07-13 00:00:00+00:00
12,"абхазии, россией, дронов, российское, флота",1,2024-07-13 00:00:00+00:00
13,"санкции против, санкции, санкций, запрете, запрет",1,2024-07-13 00:00:00+00:00
17,"экономику, кремле, назначен, экономического, должность",1,2024-07-13 00:00:00+00:00
21,"отставке, кремля, мид россии, подписывайся telegram, подписывайся",2,2024-07-13 00:00:00+00:00
22,"силовиков, силовики, адекватные новости, гражданина, грозит",1,2024-07-13 00:00:00+00:00
25,"обратился, российских, гражданство, просит, российское",1,2024-07-13 00:00:00+00:00
26,"выборах, президенты, выборов, властей, президентских",1,2024-07-13 00:00:00+00:00
28,"флота, российского лидера, учения, флот, угрозу",4,2024-07-13 00:00:00+00:00
29,"родился, день, основатель, состоялась, июля",2,2024-07-13 00:00:00+00:00
30,"властей, обороны, столицу, министр обороны, правительство",2,2024-07-13 00:00:00+00:00
-1,"украиной, украину, военных, украины, армии",1314,2024-08-12 00:00:00+00:00
0,"конфликта, военные, украиной, украинских, украину",1054,2024-08-12 00:00:00+00:00
1,"властей, властям, протесты, оппозиции, протестов",14,2024-08-12 00:00:00+00:00
2,"грузии, осетии, оппозиции, правящей партии, обвинили",4,2024-08-12 00:00:00+00:00
3,"отреагировали, ядерного оружия, речь идет, ядерного, ядерной",2,2024-08-12 00:00:00+00:00
4,"отставки, протестов, протестующие, премьер министром, отставке",7,2024-08-12 00:00:00+00:00
5,"доверия, доверие, неделю, оценка, примерно",4,2024-08-12 00:00:00+00:00
8,"вооруженных сил, отмечается, армии, обороны, день",9,2024-08-12 00:00:00+00:00
9,"курской области, командованием, властями, командир, войск",31,2024-08-12 00:00:00+00:00
10,"военных, армии, армия, верховному, фронта",2,2024-08-12 00:00:00+00:00
11,"инцидент, иран, катастрофы, причины, результате",5,2024-08-12 00:00:00+00:00
12,"абхазии, россией, речь идет, российские, антироссийских",2,2024-08-12 00:00:00+00:00
13,"санкции против, санкции, санкций, американские, американских",3,2024-08-12 00:00:00+00:00
15,"бразилии, властей, обвинил, обвинив, ситуацию",1,2024-08-12 00:00:00+00:00
19,"завершился, переговорах, переговоры, переговоров, покинули",4,2024-08-12 00:00:00+00:00
21,"посла, посол, кремля, назначен, назначил",3,2024-08-12 00:00:00+00:00
22,"задержали, задержан, ареста, силовики, соцсетях",2,2024-08-12 00:00:00+00:00
24,"проголосовали, крыму, избирателей, выборы, крым",1,2024-08-12 00:00:00+00:00
26,"говоря, властей, оказывается, беспилотников, контролировать",1,2024-08-12 00:00:00+00:00
28,"украиной, киевского режима, военными, оружием, россию",8,2024-08-12 00:00:00+00:00
29,"родился, день, основатель, сентября, сергей",2,2024-08-12 00:00:00+00:00
-1,"украину, украины, украина, нужно, говорит",1401,2024-09-11 00:00:00+00:00
0,"ядерного оружия, россию, россией, обороны, ядерного",1224,2024-09-11 00:00:00+00:00
1,"властей, боевиков, военные, переворота, обстановка",15,2024-09-11 00:00:00+00:00
2,"грузии, происходит, суверенитета, закона, закон",20,2024-09-11 00:00:00+00:00
3,"состоятся, речь идет, вооруженных, ядерного оружия, рассматривают",5,2024-09-11 00:00:00+00:00
4,"обвиняют, франции, отставку, политиков, левых",5,2024-09-11 00:00:00+00:00
5,"доверие, доверия, большинство, оценка, мнение",1,2024-09-11 00:00:00+00:00
8,"вооруженных сил, вооруженных, отмечают, армии, вооруженными",5,2024-09-11 00:00:00+00:00
9,"безопасности россии, совета безопасности, назначены, назначен, совбеза",1,2024-09-11 00:00:00+00:00
10,"верховному, верховным, верховного, должны, военных",2,2024-09-11 00:00:00+00:00
12,"абхазии, республику, президенты, республике, сообщает",3,2024-09-11 00:00:00+00:00
13,"санкций, санкциями, санкции, санкции против, британские",1,2024-09-11 00:00:00+00:00
14,"осетии, обсудить, поддержку, здравоохранения, встреча",1,2024-09-11 00:00:00+00:00
15,"переговоры, переговорах, переговоров, разговор, телефонный разговор",2,2024-09-11 00:00:00+00:00
17,"министром обороны, министра обороны, министр обороны, министерство обороны, обороны",1,2024-09-11 00:00:00+00:00
19,"завершилось, завершился, лукашенко, переговорах, дмитрий песков",1,2024-09-11 00:00:00+00:00
21,"отставке, кремля, указом, указ, подписал указ",10,2024-09-11 00:00:00+00:00
22,"задержали, задержан, ареста, грозит, ненависти",2,2024-09-11 00:00:00+00:00
23,"телефонный разговор, переговоры, телефону, разговор, разговора",5,2024-09-11 00:00:00+00:00
26,"протестующих, протесты, властей, толпа, людей",1,2024-09-11 00:00:00+00:00
28,"проводят, границе, военные, начали, учения",8,2024-09-11 00:00:00+00:00
29,"родился, день, основатель, наук, автор",4,2024-09-11 00:00:00+00:00
30,"расследование, властей, президентский, президентских, серьезно",1,2024-09-11 00:00:00+00:00
-1,"говорит, украину, россию, переговоры, переговоров",1694,2024-10-11 00:00:00+00:00
0,"саммите, россию, россией, переговоры, сказал",1535,2024-10-11 00:00:00+00:00
1,"протесты, протестующих, оппозиции, оппозиция, сомнений",2,2024-10-11 00:00:00+00:00
2,"грузии, выборы, выборах, выборов, протесты",50,2024-10-11 00:00:00+00:00
3,"угрозу, совещание, опасения, россию, внешней политики",18,2024-10-11 00:00:00+00:00
4,"франции, недовольны, спустя, лидера, президентские",2,2024-10-11 00:00:00+00:00
5,"доверие, доверия, большинство, мнение, оценка",5,2024-10-11 00:00:00+00:00
7,"поздравил, президенты, президентский, президентские, президентских",1,2024-10-11 00:00:00+00:00
8,"вооруженных сил, войска, военного, армии, войск",4,2024-10-11 00:00:00+00:00
10,"верховному, майора, верховного, грозит, сказал",18,2024-10-11 00:00:00+00:00
15,"призвали, призвал, призывает, санкций, кремль",4,2024-10-11 00:00:00+00:00
19,"завершился, минут, переговорах, покинули, часа",4,2024-10-11 00:00:00+00:00
21,"посол, назначен, посла, российской федерации, кремля",2,2024-10-11 00:00:00+00:00
22,"задержали, задержан, ареста, силовики, военнослужащих",5,2024-10-11 00:00:00+00:00
25,"гражданство, российского, российское, гражданина, российский",9,2024-10-11 00:00:00+00:00
28,"хотят, союзниками, планируют, хочет, союзники",6,2024-10-11 00:00:00+00:00
29,"родился, день, основатель, октября, герой",3,2024-10-11 00:00:00+00:00
-1,"ракетами, россию, ракеты, конфликта, обороны",1811,2024-11-10 00:00:00+00:00
0,"ракетами, ракеты, россию, россией, обороны",1879,2024-11-10 00:00:00+00:00
1,"вооруженных, властями, властей, делают, обстановка",11,2024-11-10 00:00:00+00:00
2,"грузии, протесты, протестов, протестующих, протеста",66,2024-11-10 00:00:00+00:00
3,"отставку, переворот, отставки, оппозиции, протесты",182,2024-11-10 00:00:00+00:00
4,"отставку, отставки, отставке, оппозиционных, протесты",7,2024-11-10 00:00:00+00:00
5,"россиян, доверие, доверия, большинство, граждан",1,2024-11-10 00:00:00+00:00
8,"вооруженных сил, военнослужащие, военнослужащих, армии, войска",13,2024-11-10 00:00:00+00:00
10,"майора, военных, верховному, верховным, верховного",4,2024-11-10 00:00:00+00:00
12,"абхазии, республику, отставку, оппозиции, республике",15,2024-11-10 00:00:00+00:00
13,"санкции, санкции против, санкциями, санкций, банк",1,2024-11-10 00:00:00+00:00
22,"задержали, задержан, обвинению, украинские, уголовное",4,2024-11-10 00:00:00+00:00
25,"гражданство, россии подписаться, журналист, журналистов, российское",6,2024-11-10 00:00:00+00:00
26,"выбрали, счастье, победил, сами, президентских",1,2024-11-10 00:00:00+00:00
27,"оппозиции, абхазии, оппозицией, оппозиция, протестующие",103,2024-11-10 00:00:00+00:00
28,"спецслужбы, свои позиции, спецслужб, говоря, связь",5,2024-11-10 00:00:00+00:00
-1,"украину, переговоров, переговоры, конфликта, военные",1846,2024-12-10 00:00:00+00:00
0,"россию, российские, россией, российских, украину",1315,2024-12-10 00:00:00+00:00
1,"протесты, переворот, протестов, произошло, переворота",12,2024-12-10 00:00:00+00:00
2,"грузии, власть, правящей, властям, выборы",79,2024-12-10 00:00:00+00:00
3,"отставку, переворота, оппозиции, ареста, оппозиция",66,2024-12-10 00:00:00+00:00
4,"выборах, франции, политическое, выборы, европу",8,2024-12-10 00:00:00+00:00
5,"лидеров, россиян, доверие, доверия, большинство",2,2024-12-10 00:00:00+00:00
8,"вооруженных сил, вооруженных, отмечают, войска, днем",17,2024-12-10 00:00:00+00:00
9,"назначен, возглавил, совета безопасности, назначил, безопасности россии",9,2024-12-10 00:00:00+00:00
10,"военных, военным, майора, армия, верховному",20,2024-12-10 00:00:00+00:00
12,"абхазии, республику, россией, оппозиции, республике",15,2024-12-10 00:00:00+00:00
13,"санкции, санкции против, санкций, список, списке",1,2024-12-10 00:00:00+00:00
16,"пострадавших, поручил, нужно, работают, российский лидер",8,2024-12-10 00:00:00+00:00
17,"министром обороны, армии, министра обороны, самое главное, обороны",1,2024-12-10 00:00:00+00:00
18,"самолета, самолет, инцидент, обсудили, произошел",47,2024-12-10 00:00:00+00:00
19,"завершилось, завершился, покинули, кремле, переговорах",1,2024-12-10 00:00:00+00:00
20,"уважения, символом, рядом, человека, людей",2,2024-12-10 00:00:00+00:00
21,"кремля, отставке, российской федерации, совбеза, указом",1,2024-12-10 00:00:00+00:00
25,"гражданство, российского, российское, российский, русский",1,2024-12-10 00:00:00+00:00
26,"гражданство, властей, политик, родом, страну",1,2024-12-10 00:00:00+00:00
28,"следует, дроны, говорят, кораблей, угроз",1,2024-12-10 00:00:00+00:00
29,"родился, декабря, 19, день, деятель",1,2024-12-10 00:00:00+00:00
-1,"россию, украину, конфликта, санкции, россией",1498,2025-01-09 00:00:00+00:00
0,"переговоров, переговоры, войска, украину, военных",1047,2025-01-09 00:00:00+00:00
1,"вооруженных, произошло, протесты, протестующие, боевиков",19,2025-01-09 00:00:00+00:00
2,"грузии, властям, выборах, президентский, оппозиции",8,2025-01-09 00:00:00+00:00
3,"ареста, арест, задержания, задержали, переворота",29,2025-01-09 00:00:00+00:00
4,"речь идет, конституционный, конституционного, выборах, выборы",1,2025-01-09 00:00:00+00:00
5,"доверие, доверия, большинство, оценка, плохо",2,2025-01-09 00:00:00+00:00
8,"российской армии, армии, войска, вооруженных сил, военнослужащие",1,2025-01-09 00:00:00+00:00
12,"абхазии, выборах, выборы, выборов, кандидаты",45,2025-01-09 00:00:00+00:00
13,"санкции против, санкции, санкций, список, нефти",1,2025-01-09 00:00:00+00:00
15,"телефонный разговор, переговоров, переговорах, президенты, кремле",3,2025-01-09 00:00:00+00:00
16,"совещание, катастрофы, вице премьер, глава государства, правительство",10,2025-01-09 00:00:00+00:00
18,"погибших, погибли, военными, военнослужащих, военный осведомитель",1,2025-01-09 00:00:00+00:00
21,"отставке, губернатора, кремля, кремле, указом",1,2025-01-09 00:00:00+00:00
22,"задержан, задержали, уголовное, силовики, уголовного",6,2025-01-09 00:00:00+00:00
24,"крыму, крым, крыма, конституцию, республику",2,2025-01-09 00:00:00+00:00
25,"гражданство, российское, россию, гражданин, гражданина",4,2025-01-09 00:00:00+00:00
28,"угрозы, угроз, россию, альянса, флот",5,2025-01-09 00:00:00+00:00
29,"родился, день, февраля, основатель, герой",1,2025-01-09 00:00:00+00:00
30,"санкции против, санкций, санкции, властей, запретил",15,2025-01-09 00:00:00+00:00
-1,"переговорах, украину, говорит, переговоры, переговоров",2740,2025-02-08 00:00:00+00:00
0,"переговоры, переговоров, украину, украинских, разговор",1167,2025-02-08 00:00:00+00:00
1,"боевиков, конфликт, ситуацией, военнослужащие, войска",7,2025-02-08 00:00:00+00:00
3,"отреагировали, южной, переговоры, властью, это произошло",6,2025-02-08 00:00:00+00:00
4,"оппозиции, парламенте, франции, выборах, выборы",2,2025-02-08 00:00:00+00:00
