country,count,post_text_examples
Никарагуа,52,"[""Президент Никарагуа Даниэль Ортега подписал указ, разрешающий строительство российских военных баз на территории страны и размещение крылатых ракет. P.S. Расстояние до Вашингтон..."", ""Президент Никарагуа Даниэль Ортега подписал указ, который официально разрешает ввод в страну ВС РФ и строительство военных баз с крылатыми ракетами. Отмечается, что российское о..."", ""Президент Никарагуа Даниэль Ортега распорядился разорвать дипломатические отношения с Израилем. Об этом в эфире телеканала Canal 4.сообщила вице-президент страны Росарио Мурильо..."", ""⚡️⚡️⚡️⚡️ Володин пригласил президента Никарагуа Ортегу выступить перед палатой российского парламента, передает ТАСС"", ""⚡️⚡️⚡️⚡️ Володин встретился с президентом Никарагуа Ортегой, передав ему теплые слова приветствия и послание от Путина, передает РИА Новости. В обращении Путина отмечается, что ..."", ""❗️Си Цзиньпин провел телефонный разговор с президентом Никарагуа Даниэлем Ортегой. Главы двух государств объявили, что Китай и Никарагуа официально установили стратегическое пар..."", ""⚡️🇳🇮 «Они хотели привезти фашиста, нацистского президента Украины, чтобы он присутствовал на саммите ЕС-СЕЛАК. Европейцы сильно настаивали, но большинство стран СЕЛАК не согласи..."", ""Президент Никарагуа Даниэль Ортега - о конфликте на Украине: Российская Федерация ведет борьбу за мир. Не против нации, а против фашистов, нацистов, которые совершили переворот ..."", ""Сегодня беседовал по ВКС с президентом Никарагуа Даниэлем Ортегой. Разговор касался политического взаимодействия наших стран и межпартийного сотрудничества. Но вот что вспомнило..."", ""Президент Никарагуа Даниэль Ортега высказался о противостоянии России и Запада: \""Они хотят подчинить себе Россию и Китай, переживают момент шизофрении, думая, что они всё ещё го...""]"
Чили,49,"[""«Сегодня это Венесуэла, завтра это может быть любая другая страна», — президент Чили Габриэль Борич об атаке США на Боливарианскую Республику 🇷🇺 Подписаться - АдекВатные новости"", ""БЕЛОРУССКИЙ СЕМАФОР. ЖЕСТЫ И ЗНАКИ АЛЕКСАНДРА ЛУКАШЕНКО. ГАДАНИЕ НА АК-74. Ну что... Батька готов идти до конца? Как Сальвадор Альенде, погибший с автоматом в руках Президент Чи..."", ""А, ЕСЛИ СЕРЬЕЗНО, ЭТО ИДУЩИЙ НА ЭШАФОТ САЛЬВАДОР АЛЬЕНДЕ, ПРЕЗИДЕНТ ЧИЛИ. ВОТ ОН СТОЯЛ ДО КОНЦА☝️☝️☝️."", ""«Это красная линия, которую ни при каких обстоятельствах нельзя пересекать» – президент Чили Габриэль Борич осудил военную операцию США по захвату Николаса Мадуро. «Соблюдение с..."", ""❗️ Президент Чили Габриэль Борич призвал к предоставлению Бразилии и Индии статуса постоянных членов Совета Безопасности ООН не позднее 2025 года, передает ТАСС."", ""❗️Чили присоединится к иску против Израиля, который ЮАР подала в Международный суд ООН из-за ситуации в секторе Газа. Об этом заявил президент Чили Габриэль Борич. Подписывайся ..."", ""А, ЕСЛИ СЕРЬЕЗНО, ЭТО ИДУЩИЙ НА ЭШАФОТ САЛЬВАДОР АЛЬЕНДЕ, ПРЕЗИДЕНТ ЧИЛИ. ВОТ ОН СТОЯЛ ДО КОНЦА☝️☝️☝️."", ""Чилийский бизнес потерял более 1,4 миллиарда долларов из-за уличных беспорядков. При этом, президент Чили Себастьян Пиньера подписал указы об отмене чрезвычайного положения в ст..."", ""Президент Колумбии Густаво Петро подкинул сюрпризу Зеленскому и прекратил свое присутствие на саммите мира в Швейцарии в разгар дня открытия и приема гостей. Попутно написал на ..."", ""Смерть арестованного украинским режимом гражданина США и Чили, видео блогера Гонсало Лиры, независимо от его политических взглядов и убеждений - преступление с любой точки зрени...""]"
Сальвадор,47,"[""✔️Сергей Лавров заявил об угрозе США нанести «обезглавливающий удар» по Кремлю для устранения Владимира Путина. Учитывая, что вашингтонский обком сейчас переживает фантомные бол..."", ""🖥️ Президент Сальвадора Найиб Букеле заявил, что в США активны банды, поклоняющиеся Сатане: «Многие люди не знают, что нашим врагом был не только человек из плоти и крови, но и ..."", ""🤡 Хантер Байден, сын экс-президента США, послал на *** всех, кто недоволен нелегальной миграцией в Штатах, и пообещал, что если бы он был президентом, то вторгся бы в Сальвадор,..."", ""🖥️ Президент Сальвадора Наиб Букеле продемонстрировал праздничные рождественские торжества. Видео показывает относительное благополучие, пришедшее в Сальвадор. Букеле удалось ос..."", ""Президент Сальвадора Найиб Букеле первым поздравил Дональда Трампа с победой на выборах."", ""✔️Сергей Лавров заявил об угрозе США нанести «обезглавливающий удар» по Кремлю для устранения Владимира Путина. Учитывая, что вашингтонский обком сейчас переживает фантомные бол..."", ""Сводка по коронавирусу за ночь ▪️Премьер Италии объявил новые меры по борьбе с распространением болезни: прекращена любая торговая деятельность, за исключением магазинов с предм..."", ""Президент Сальвадора начал свое выступление с трибуны ООН с того, что сделал селфи. Он объяснил, что нынешний формат политики устаревает и нельзя игнорировать социальные сети."", ""«Американский народ дал Дональду Трампу четкий мандат на перемены. Будущее будет удивительным» (с) Илон Маск Президент Сальвадора уже успел поздравить Трампа с победой на выборах."", ""Пока затишье: немного о международной обстановке вокруг СВ операции на Украине На Ближнем Востоке официально осудил Россию только МИД Ливана. И то этим публично возмутились неко...""]"
Уганда,47,"[""🎙 Совместное заявление по итогам встречи между Президентом России В.В.Путиным и лидерами Африканской мирной инициативы 💬 28 июля 2023 года в Санкт-Петербурге Президент Российско..."", ""\""Называйте меня \""путинистом\"", если хотите, но мы, Уганда, пошлём солдат защищать Москву, если ей когда-нибудь будут угрожать империалисты!\"" — сын президента Уганды Мухузи Кайнер..."", ""Сын президента Уганды, бригадный генерал Мухоози Каинеругаба: Я слышал, что некоторые иностранные компании (я не знаю, какие именно) хотят покинуть страну, потому что мы приняли..."", ""Читаю «Коммерсант»: «Несколько дней подряд Сергей Лавров, отвечая на вопросы журналистов, раз за разом повторял, что российской вины в создании продовольственного кризиса, также..."", ""Для стенающих по 20 миллиардам долларов, прощеным странам Африки, я проведу ликбез. Во-первых, эти 20 миллиардов по сути воздух, это советские долги. Их дал СССР давно несуществ..."", ""Президент Уганды принял иранского посла Маджида Сафара в Кянкуанзи для обсуждения вопросов общего интереса и сотрудничества между двумя странами. Ранее главнокомандующий Уганды ..."", ""Кто из лидеров африканских стран уже находится в Сочи: • Президент Гвинеи Альфа Конде • Президент Мозамбика Филипе Ньюси • Президент Нигерии Мухаммаду Бухари • Президент ЮАР Сир..."", ""​​🇸🇴 «Политический СПИД». О новом кризисе в Сомали Новый и самый серьезный с апреля 2021 г. конституционный кризис разразился в Сомали после того, как 6 сентября премьер Мохамед..."", ""​​🇺🇬 «Остаться любой ценой». О президентских выборах в Уганде В 1971 г. один студент представил диссертацию об идеях Франца Фанона о насилии как высшей формы политической органи..."", ""​​Ревизия ревизоров. О скандале в Афросоюзе Влиятельный журнал «Жен Африк» вновь написал об одной из самых деликатных и болезненных для Африканского союза тем. В Механизме взаим...""]"
Шри-Ланка,47,"[""ИСТОРИЧЕСКОЕ ПРОКЛЯТЬЕ: УКРАИНА КАК АНТИ-РОССИЯ Спекулятивные идейные установки нередко могут вести к поражению. Предлагаю пример Збигнева Бжезинского, который шутил, что «истор..."", ""Борис Джонсон, Марио Драги, премьер Эстонии, президент Шри-Ланки скоропостижно заканчивают свою политическую карьеру 🤔 Смотрите ка, а санкции работают😜"", ""📸 Владимир Путин выразил соболезнования президенту Шри-Ланки Ануре Кумаре Диссанаяке в связи с жертвами из-за масштабных наводнений. Национальное агентство по чрезвычайным ситуа..."", ""Президент Шри-Ланки обратился к индийскому премьеру Моди с просьбой поддержать заявку страны на вступление в БРИКС, согласно совместному заявлению по итогам их переговоров."", ""❗️ Президент Шри-Ланки не сможет посетить саммит БРИКС в Казани, глава МИД будет участвовать вместо него, сообщает представитель правительства."", ""❗️Протестующие ворвались в резиденцию президента Шри-Ланки AFP"", ""Петр, ты не прав сразу по ряду моментов) 1. Не так давно коммунисты пришли через выборы к власти в Непале, конкретно коалиция ленинистов и маоистов, которая первым делом легализ..."", ""▪️Вчера сообщили о захвате в Шри-Ланке президентского дворца, глава государства якобы бежал из страны. ⭐️Два майора очень долго смеялись, так как нам достоверно известно, что на..."", ""Президент Шри-Ланки Раджапакса, где последние недели были масштабные митинги, официально ушел в отставку, сообщил спикер парламента."", ""Протестующие в Шри-Ланке снова захватывают правительственное здание — на этот раз офис премьер-министра.Власти применяют против них слезоточивый газ. В небо для патрулирования п...""]"
Буркина-Фасо,46,"[""Вчера министр иностранных дел России Сергей Лавров прибыл в Буркина-Фасо в рамках своего турне по Африке. «Мы разорвем все узы, которые держали нас в рабстве», – капитан Ибрагим..."", ""Только в «Солнце Севера» вы увидите художественные и документальные фильмы, которые ранее не публиковались в сети на русском языке, об истории других стран, политике, войне и во..."", ""🇷🇺 КТО ПОСЕТИТ ПАРАД ПОБЕДЫ 9 МАЯ 2025. Какие страны точно будут присутствовать на мероприятии, посвященном 80-й годовщине окончания Великой Отечественной войны. Полный список: ..."", ""Президент Буркина-Фасо Ибрагим Траоре: Западу больше не будет добычи полезных ископаемых! Наши так называемые друзья уже давно высасывают наше богатство. Мы собираемся отозвать ..."", ""Президент Буркина-Фасо капитан Ибрагим Траоре сделал заявление по случаю теракта в Москве. На видео граждане столицы страны, которые ночью прибыли к зданию нашего посольства в У..."", ""Комментарий для СМИ Сергея Лаврова по итогам переговоров с Президентом Буркина-Фасо"", ""Президент Буркина-Фасо на фоне капитуляции Макрона в Нигере (Макрон не сумев организовать интервенцию против Нигера вчера согласился вывести войска и отозвать посла из Нигера, к..."", ""❗️Владимир Путин провел рабочую встречу с президентом Буркина-Фасо Ибрагимом Траоре. Российский лидер рассказал о планах возобновления работы посольства РФ в Буркина-Фасо. Прези..."", ""Президент Буркина-Фасо Ибрагим Траоре: У империалистов есть свое видение мира, которое я вам сейчас объясню. Для них мир сводится к треугольнику. В вершине треугольника находитс..."", ""\""Почему нельзя верить западным людям\"". На связи президент Буркина-Фасо Ибрагим Траоре. Как верно подметил, необходимо деколонизировать менталитет. Нас это кстати тоже касается.""]"
Лаос,42,"[""\""Когда нечего делать - заслушай подчинённых! И только затем переходи к проверке порядка в шкафах!\"" Народная лаосская поговорка. Когда один Дед вздумал подчинить себе все корабли..."", ""Владимир Путин выступает на заседании в формате \""ШОС плюс\"": ▪️Все больше государств стремятся сотрудничать с ШОС, искренний интерес и внимание со стороны мирового сообщества к о..."", ""🇨🇬🇷🇺В Казань прибыл президент Республики Конго 🇱🇦 Президента Лаоса Тхонглун Сисулит тоже встретили в Казани В аэропорту президента лично встретил Фарид Мухаметшин. Рекомендуйте ..."", ""\""Надеемся на вашу поддержку и принятие Лаоса в качестве будущего члена БРИКС\"" Президент Лаоса Тхонглун Сисулит заявил об интересе страны стать членом в БРИКС."", ""На парад 9 мая в Москве приедут главы Белоруссии, Казахстана, Киргизии, Таджикистана, Туркмении, Кубы, Лаоса и Гвинеи-Бисау. Об этом рассказал помощник Владимира Путина Юрий Уша..."", ""🖥️ В Кремле проходят российско-лаосские переговоры между Владимиром Путиным и президентом Лаоса Тхонглуном Сисулитом. Планируется обсудить вопросы торгово-экономического и культ..."", ""🖥️ Президент Лаоса Тхонглун Сисулит возложил цветы к Могиле Неизвестного Солдата в Москве. В ходе своего официального визита в Россию он, как сообщается, проведет переговоры с В..."", ""🖥️ Зампред Совбеза России Дмитрий Медведев встретился с президентом Лаоса Тхонглуном Сисулитом. Он отметил, что отношения двух стран развиваются по всем направлениям, а также по..."", ""БРИКС играет ключевую роль в изменении мирового порядка - президент Лаоса"", ""❗️ Президент Лаоса планирует принять участие в саммите БРИКС в Казани, сообщили в МИД РФ.""]"
Перу,42,"[""🧐 АдекВатные новости, познавательные. «Вот тут мы будем двигаться по кругу, но головой двигать не надо. Руки вытягиваем, получается как-то так»: Президент Перу вышел на улицу и ..."", ""Международный ФАН: материалы за день (27 февраля 2021 года) #Чтиво Репортажи и интервью: 🇷🇺🇺🇦 Источник ФАН рассказал об охоте на «диверсантов» в Харькове. 🇺🇦 «Спим на досках по ..."", ""Президент Перу еще не знает что фотограф с усами слева это не Хуан Лазаро, а советский разведчик-нелегал Михаил Васенков 😀 @go338"", ""📺📺 Главное за ночь 🟥Медведев обвинил во лжи об Украине главу МИД Великобритании; 🟥Алаудинов рассказал об обстановке в Курской области; 🟥\""Союз МС-26\"" доставил на МКС новый экипаж..."", ""❗️ Бывший президент Перу Альберто Фухимори умер в возрасте 87 лет. Об этом сообщила его дочь Кейко Фухимори. ✍ Подписывайся на Соловьёва!"", ""Президент Перу объявил чрезвычайное положение в некоторых регионах после кровопролитных столкновений между силами безопасности и демонстрантами, выступающими за Кастильо."", ""«487 человек, среди которых много госслужащих, воспользовались своими полномочиями, чтобы вакцинироваться препаратом Sinopharm, который прибыл в дополнение к тем, что использова..."", ""Международный ФАН: материалы за день (27 февраля 2021 года) #Чтиво Репортажи и интервью: 🇷🇺🇺🇦 Источник ФАН рассказал об охоте на «диверсантов» в Харькове. 🇺🇦 «Спим на досках по ..."", ""На выборах в Перу с отрывом в менее чем 1% победил левый социалист-профсоюзник Педро Кастильо, шедший под лозунгами реформ в пользу беднейших слоев населения (\""Слишком много бед..."", ""🇵🇪 Что происходит в Перу? основные события с начала января 2023 года В Перу продолжаются протесты, спровоцированные импичментом и последующим арестом президента Педро Кастильо. ...""]"
Индия,41,"[""Переговоры России и Индии прошли в конструктивной и дружественной обстановке в духе привилегированного партнерства двух стран, заявил Владимир Путин. \""Завершившиеся только что п..."", ""Трамп подписал указ о введении дополнительного 25% тарифа в отношении Индии. Президент США подписал указ о введении дополнительной пошлины в размере 25% на импорт из Индии за за..."", ""🔥 Прогноз: важнейшие саммиты 2024 года — Первая крупная международная встреча нового года — Министерская конференция ВТО, которая пройдёт в конце февраля в ОАЭ. Запланированные ..."", ""🇨🇳В администрации президента США Джо Байдена обеспокоены тем, что Китай может принять решительные меры, вплоть до введения бесполетной зоны над Тайванем, чтобы сорвать визит на ..."", ""📺📺 Владимир Путин провел переговоры с премьер-министром Нарендрой Моди и президентом Индии Дроупади Мурму, а также встретился с участниками российско-индийского бизнес-форума. И..."", ""🖥️ Полное заявление президента России на встрече с президентом Индии Дроупади Мурму. 🇷🇺 Подпишись на официальный канал Кремля в Max!"", ""🖥️ Владимир Путин начал встречу с Президентом Индии Дроупади Мурму 🇷🇺 Подпишись на официальный канал Кремля в Max!"", ""🖥️ США продолжают считать Индию своим стратегическим партнером, но введение повышенных пошлин вызвано озабоченностью из-за ее торговли с Россией — первый заместитель представите..."", ""Владимир Путин направил Президенту Индии Дроупади Мурму и Премьер-министру Индии Нарендре Моди телеграмму с соболезнованиями в связи с трагическими последствиями крушения авиала..."", ""Беглый фотограф Рустем Адагамов тот еще медиа-сплетник, знает кто, где, почему и зачем. Нашел вот, где теперь базируется бывшая сотрудница «России-1». Сейчас много кто уволился ...""]"
Зимбабве,40,"[""Владимир Путин подарил вертолёт президенту Зимбабве. Сегодня лидеры обеих стран провели встречу в Санкт-Петербурге в рамках саммита Россия — Африка. «Его превосходительство през..."", ""🌍Африка с нами! Рассуждая о занятой африканскими странами позиции в связи с украинским кризисом, британское издание The Guardian признает, что поддержка со стороны многих африка..."", ""'Ресурсы Африки должны принадлежать Африке', — сказал бывший президент Зимбабве. А мы напомнили. Такая вот у RT реклама в Африке. За фото спасибо экс-министру образования страны..."", ""ПМЭФ в западной прессе освещают по-разному. В основном «ухватываются» за слова Владимира Путина о ядерном оружии и ядерной доктрине России, но сухо упоминают и экономическую пов..."", ""🖥️ «Показатели товарооборота РФ и Зимбабве скромные, но есть хорошие возможности для его роста в таких отраслях, как геологоразведка, энергетика и сельское хозяйство», — заявил ..."", ""🖥️ Президент Зимбабве Эммерсон Мнангагва прибыл в Москву для участия в праздничных мероприятиях по случаю Дня Победы. ✍ Подписывайся на Соловьёва!"", ""❗️ Вертолёт, на котором должен был лететь президент Зимбабве Эммерсон Мнангагва потерпел крушение. Местный телеканал со ссылкой на заявление министра информации страны Дженфана ..."", ""❗️Африка перестала быть спящим гигантом, она поднимается и скоро \""зарычит, как лев\"" — президент Зимбабве Эммерсон Мнангагва в интервью ТАСС."", ""❗️Зимбабве заинтересовано в прямом авиасообщении с Россией, хочет изучить возможность его запуска. Президент Зимбабве Эммерсон Мнангагва"", ""❗️Зимбабве хочет вступить в БРИКС, этот вопрос обсуждался тет-а-тет с Владимиром Путиным в Санкт-Петербурге. Президент Зимбабве Эммерсон Мнангагва""]"
Мали,39,"[""Буркина-Фасо, Мали и Нигер подписали хартию о создании организации коллективной обороны в ключевой зоне региона Сахель. Об этом сообщил временный президент Мали Ассими Гоита. Ка..."", ""Мали становится символом сопротивления африканцев неоколониальному диктату Запада. Санкции только подкрепляют подобные отношения. Панафриканистские движения в итоге становятся с..."", ""На СВО воюет внук бывшего президента Мали с позывным «Путин». Это он на видео. Даже Мумбо-Юмбо разбирается в геополитике и воюет на стороне добра, а ты 🫵 до сих пор хохол! 👉"", ""❗️Путин провел телефонный разговор с главой Мали, подтвержден настрой на укрепление экономических связей, сотрудничества в вопросах безопасности и борьбы с терроризмом. Президен..."", ""❗️Путин поговорил по телефону с президентом Мали. Они обсудили поставки удобрений, пшеницы и топлива. Временный президент Мали Ассими Гоита поблагодарил Владимира Путина за гума..."", ""⚡️⚡️ Российская делегация во главе с замминистра обороны Юнус-Беком Евкуровым провела переговоры с президентом Мали. Глава переходного правительства Ассими Гойта принял делегаци..."", ""Что-то, воля ваша, суровое творится на африканском континенте. Пока наше внимание обращено на классические застарело кровоточащие регионы, вроде Афганистана – в Африке под шумок..."", ""Временный президент Мали генерал Ассими Гоита прибыл в Москву с официальным визитом, который продлится несколько дней, по приглашению президента России Владимира Путина. В аэроп..."", ""Кто из лидеров африканских стран уже находится в Сочи: • Президент Гвинеи Альфа Конде • Президент Мозамбика Филипе Ньюси • Президент Нигерии Мухаммаду Бухари • Президент ЮАР Сир..."", ""🇲🇱🇧🇫🇳🇪 Как прошел первый саммит Альянса Государств Сахеля 6 июля в столице Нигера Ниамей прошел первый саммит Альянса Государств Сахеля, который объединяет антизападные правител...""]"
Панама,38,"[""Президент Панамы Хосе Рауль Мулино после встречи с госсекретарём США Марко Рубио заявил, что Панама прекратит участие в китайской инициативе «Один пояс, один путь». По данным Ax..."", ""🇵🇦🇺🇸 «Канал останется под контролем Панамы»: президент Мулино жестко ответил на инаугурационное обещание Трампа Во время торжественной церемонии новый американский лидер заявил,..."", ""🇵🇦 Президент Панамы ответил Трампу, чей Панамский канал Хосе Рауль Мулино прокомментировал слова Трампа о передаче канала США: «Каждый квадратный метр канала принадлежит и будет..."", ""За ценой не постоим. После переговоров в Москве Стива Уиткоффа и Джереда Кушнера президент Дональд Трамп сообщил, что «у них сложилось впечатление, что Путин хотел бы, чтобы вой..."", ""Госсекретарь США Рубио выдвинул ультиматум президенту Панамы насчет Панамского канала: «Трамп решил, что влияние Китая угрожает Панамскому каналу. Если не будет немедленных изме..."", ""Трамп ещё не стал президентом, а уже умудрился за день посраться с Панамой (потребовав передать США Панамский канал) и с Данией (потребовав Гренландию), ранее посрался с Канадой..."", ""​​✔️Сегодня годовщина одной поучительной и печальной истории Американцам свойственно совершать убийства и разбой, прикрываясь якобы мессианством в \""защите демократии\"". За всей э..."", ""За ценой не постоим. После переговоров в Москве Стива Уиткоффа и Джереда Кушнера президент Дональд Трамп сообщил, что «у них сложилось впечатление, что Путин хотел бы, чтобы вой..."", ""🖥️ Марко Рубио посетил Панамский канал. Ранее президент Панамы Хосе Рауль Мулино заявил, что отказывается от дальнейшего сотрудничества с Китаем по инициативе «Один пояс — один ..."", ""Президент Панамы Хосе Рауль Мулино заявил, что его страна не будет продлевать меморандум о взаимопонимании с Китаем по инициативе \""Один пояс - один путь\"" и рассмотрит возможност...""]"
Австрия,37,"[""🔥 Австрия не смогла бы дать военную помощь Киеву, даже если бы захотела. Президент Австрии Александер Ван дер Беллен заявил, что его страна физически не способна предоставить Ук..."", ""👉 Список лидеров, министров иностранных дел государств, преимущественно стран Запада, а также руководителей международных организаций, посетивших Бучу. То самое место, где была ..."", ""❗Собака президента Молдовы Майи Санду укусила за палец приехавшего в Кишинёв президента Австрии Александра Ван дер Бел."", ""❗️Западные политики один за другим хотят привлечь российского президента к суду в Гааге. По словам экс-кандидата в президенты Австрии Геральда Гросса, если бы в Гааге рассуждали..."", ""«Это шизофрения». На европейском телевидении разгорелся скандал на почве антироссийских санкций - кандидат в президенты Австрии Геральд Гросс заявил, что в Брюсселе не думают о ..."", ""Кремль: «По просьбе Федерального канцлера Австрии Президент России дал оценку ситуации в контексте ведущейся специальной военной операции по защите Донбасса и информировал о раб..."", ""Национал-куколдизм и толерантность головного мозга 80 левела. 2017 год: «В условиях роста исламофобии настанет день, когда нам придётся попросить ВСЕХ женщин носить платок в зна..."", ""Абсолютными виртуозами в замалчивании национальности являются, конечно, австрийцы. Так технично слить Гитлера, что все его считают немцем - это надо постараться. Все-таки австри..."", ""❗️Ночной международный дайджест: 🇦🇹 Reuters: Президент Австрии поручил формирование правительства правоцентристам, а не ультраправым. 🇪🇺🇺🇦 Politico: Парламент одобрил выделение ..."", ""Интересное за сегодня: – Путин вступил в должность президента России – Операция в Рафахе не прекратится до уничтожения ХАМАС или до начала освобождения заложников из сектора Газ...""]"
Ливия,37,"[""Историческая речь президента Ливии Муаммара Каддафи в 2005 году: «НАТО расширяется в сторону России, чтобы добраться до газа, нефти, угля и железа, принадлежащих России, чтобы о..."", ""Владимир Путин поговорил с Президентом Египта Абдельфаттахом Сиси. Подробно обсуждалась ситуация в Ливии. Президент Египта проинформировал о содержании прошедших 6 июня в Каире ..."", ""⚡️⚡️⚡️ ЛИВИЯ | КОНФЕРЕНЦИЯ | ГЕРМАНИЯ Путин обсудил с премьером Британии двусторонние отношения и ситуацию в Ливии. Президент также встретился с председателем Еврокомиссии КРЕМЛЬ"", ""ЛИВИЯ | КОНФЕРЕНЦИЯ Коммюнике Берлинской конференции по Ливии содержит призыв к СБ ООН налагать санкции на всех нарушителей оружейного эмбарго. Коммюнике Берлинского саммита при..."", ""Эрдоган позвонил Путину за несколько минут до договорённости о перемирии в Ливии Президенты России и Турции подчеркнули готовность способствовать результативному проведению план..."", ""ПУТИН И НАСЛЕДНЫЙ ПРИНЦ АБУ-ДАБИ ОБСУДИЛИ ЛИВИЮ, ПРЕЗИДЕНТ РФ ВЫСКАЗАЛСЯ ЗА АКТИВИЗАЦИЮ УСИЛИЙ ДЛЯ СКОРЕЙШЕГО ПРЕКРАЩЕНИЯ ОГНЯ В ЭТОЙ СТРАНЕ КРЕМЛЬ"", ""Количество локальных конфликтов, приходящихся на нынешний XXI век, исчисляется десятками по всей планете. Один из самых кровопролитных очагов - Ливия. «День гнева», когда в Ливи..."", ""❗️В ходе беседы стороны обсудили \""текущие контртеррористические усилия и необходимость достижения мира и стабильности в Ливии. Президент признал важную роль фельдмаршала Хафтара..."", ""В Ливии при непонятных обстоятельствах был убит сын Муаммара Каддафи - Сейф-аль-Ислам. Длительное время он рассматривался как фигура, которая могла стать президентом Ливии, чтоб..."", ""МИД России вызвал спецсоветника Генсека ООН по Ливии Стефани Уильямс в Москву на переговоры. Новость вызвала оживление в арабских социальных сетях и медиа, что неудивительно. Ра...""]"
